Date,Open,High,Low,Close,Volume,Adj Close
2008-06-16,125.46,127.14,122.36,122.74,7073500,110.96
2008-06-09,125.38,126.72,122.86,126.15,6260700,114.05
2008-06-02,128.49,129.37,124.74,124.94,7057900,112.95
2008-05-27,124.01,129.99,124.00,129.43,8269800,117.01
2008-05-19,127.68,128.21,123.02,124.20,6293900,112.28
2008-05-12,123.82,128.83,123.56,127.82,8169700,115.56
2008-05-05,122.29,125.17,120.78,124.06,7794600,112.16
2008-04-28,122.61,124.43,120.50,123.18,7221200,110.91
2008-04-21,123.62,124.90,122.05,123.08,6454700,110.82
2008-04-14,116.20,125.00,115.54,124.40,13439000,112.01
2008-04-07,116.37,119.22,115.28,116.00,7797900,104.44
2008-03-31,114.15,118.37,113.34,115.76,8475200,104.23
2008-03-24,118.57,119.79,114.21,114.57,8299300,103.16
2008-03-17,113.00,118.50,113.00,118.33,9994700,106.54
2008-03-10,113.12,118.00,112.69,115.23,9718900,103.75
2008-03-03,113.86,116.41,111.80,113.94,7901300,102.59
2008-02-25,107.43,116.63,107.43,113.86,10873300,102.52
2008-02-19,106.94,109.60,104.53,108.07,7823100,97.30
2008-02-11,103.05,108.93,102.87,106.16,6786500,95.58
2008-02-04,108.67,109.00,100.60,103.27,8128300,92.98
2008-01-28,104.44,109.40,103.70,109.08,7801500,97.84
2008-01-22,98.55,107.79,98.50,104.52,14442100,93.75
2008-01-14,105.01,106.72,100.05,103.40,15625200,92.74
2008-01-07,100.25,101.00,97.04,97.67,10520300,87.60
2008-01-02,108.99,108.99,100.48,101.13,9355600,90.71
